"","Property ID","Host ID","Listing Title","Property Type","Listing Type","Created Date","Last Scraped Date","Country","State","City","Zipcode","Neighborhood","Metropolitan Statistical Area","Average Daily Rate","Annual Revenue LTM","Occupancy Rate LTM","Number of Bookings LTM","Number of Reviews","Overall Rating","Bedrooms","Bathrooms","Max Guests","Calendar Last Updated","Response Rate","Response Time (min)","Superhost","Cancellation Policy","Security Deposit","Cleaning Fee","Extra People Fee","Published Nightly Rate","Published Monthly Rate","Published Weekly Rate","Check-in Time","Checkout Time","Minimum Stay","Count Reservation Days LTM","Count Available Days LTM","Count Blocked Days LTM","Number of Photos","Business Ready","Instantbook Enabled","Listing URL","Listing Main Image URL","Latitude","Longitude","price_norm","photo_room_ratio"
"3",44212,72062,"West Inn 2 - East Village","Apartment","Private room",2010-08-08,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",126.9,17005,0.601,33,43,4.6,1,1,2,2016-10-26,100,82.42,"False","Strict",NA,NA,NA,125,3500,750,NA,"2PM",1,134,112,120,23,"False","No","https://www.airbnb.com/rooms/44212","https://a2.muscache.com/im/pictures/84364320-eea5-47bc-b5cd-3d22675d1119.jpg",40.7251782203575,-73.9803427235891,-66.0897729750033,11.5
"7",14474391,10453313,"East Village Cool","Apartment","Private room",2016-08-10,2016-10-30,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",101.39,2636,0.52,6,10,4.9,1,1,2,2016-10-30,100,24.52,"False","Strict",200,75,30,184,3052,763,"Anytime after 5PM","10AM",2,26,24,11,31,"False","No","https://www.airbnb.com/rooms/14474391","https://a2.muscache.com/im/pictures/2f86832c-56f5-49a5-b55d-5e4ab9f9a1dd.jpg",40.7247181777733,-73.9839921638727,-104.549976791695,15.5
"11",14339020,84780937,"Cozy Home in East Village","Apartment","Entire home/apt",2016-08-03,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",135.94,5982,0.88,13,4,4.5,0,1,2,2016-10-30,41,184.62,"False","Strict",300,85,25,204,3332,833,"Anytime after 3PM","11AM",1,44,6,11,7,"False","Yes","https://www.airbnb.com/rooms/14339020","https://a2.muscache.com/im/pictures/a314748c-7ea7-4d06-a3f5-11943ac3f842.jpg",40.7288104954494,-73.9778179691202,36.3616246795337,7
"22",10192197,43787973,"Inspiring private bedroom","Apartment","Private room",2015-12-25,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",110.36,12471,0.769,20,21,5,1,1,3,2016-06-14,100,13.42,"True","Strict",350,45,60,156,3108,777,"Anytime after 3PM","11AM",1,113,121,71,8,"False","No","https://www.airbnb.com/rooms/10192197","https://a2.muscache.com/im/pictures/cbe54588-62b0-496a-a486-07ae6c1f610b.jpg",40.7259712610693,-73.9807103352007,-58.3481408158403,4
"24",10070457,29128732,"Lovely Bedroom in East Village","Apartment","Private room",2015-12-18,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",89.6,3942,0.88,7,6,5,1,1,2,2016-10-30,100,50.09,"False","Flexible",NA,15,NA,135,3360,840,NA,NA,2,44,29,232,14,"False","No","https://www.airbnb.com/rooms/10070457","https://a2.muscache.com/im/pictures/811ced6f-c69b-4733-a311-d986a3e5d88e.jpg",40.7226502774968,-73.9829702655359,-73.0753497683949,7
"27",945297,5074654,"East Village Gay Friendly Dbl Room","Apartment","Private room",2013-02-16,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",116.07,39348,0.926,64,195,4.5,1,1,2,2016-10-22,100,2.13,"False","Strict",NA,20,20,130,3080,770,"Anytime after 12PM (noon)","11AM",1,339,27,0,13,"False","Yes","https://www.airbnb.com/rooms/945297","https://a0.muscache.com/im/pictures/27126467/767abbe2_original.jpg",40.728355231612,-73.9816339812275,-60.7320182018745,6.5
"28",3075573,15651493,"Best Village Location Studio Apt!","Apartment","Entire home/apt",2014-05-17,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",179.29,29224,0.906,34,73,4.6,0,1,2,2016-10-31,100,26.48,"False","Moderate",395,49,NA,217,4704,1043,"Anytime after 3PM","12PM (noon)",2,163,17,186,15,"False","No","https://www.airbnb.com/rooms/3075573","https://a2.muscache.com/im/pictures/42498522/b6c47b2a_original.jpg",40.7240754429488,-73.9863900233291,74.5371828500734,15
"30",14821118,17412119,"Sunny, Quiet East Village Studio in Great Locaiton","Apartment","Entire home/apt",2016-08-29,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",154.69,2475,1,2,9,4.9,0,1,2,2016-10-22,100,4.43,"False","Strict",250,50,NA,200,4200,1050,"Anytime after 3PM","12PM (noon)",3,16,31,14,16,"False","No","https://www.airbnb.com/rooms/14821118","https://a2.muscache.com/im/pictures/1a6db227-ef56-412c-a9e8-69b7466b68f9.jpg",40.72955149777,-73.9792640392078,40.5426453847515,16
"34",7894907,1830864,"Cosy studio in East Village","Apartment","Entire home/apt",2015-08-13,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",138.15,20032,0.879,22,25,4.8,0,1,2,2016-09-14,100,23.4,"True","Moderate",150,60,NA,210,3800,1000,NA,NA,2,145,63,158,15,"False","No","https://www.airbnb.com/rooms/7894907","https://a0.muscache.com/im/pictures/102124099/3aef9ec5_original.jpg",40.7239533880463,-73.9800109922034,33.3971828498393,15
"37",9788564,50452790,"PRIVATE, FURNISHED, CLEAN STUDIO","Apartment","Entire home/apt",2015-12-02,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",127.8,639,0.2,2,3,3.6,0,1,2,2015-12-27,NA,NA,"False","Strict",NA,NA,NA,125,3500,875,NA,NA,1,5,20,280,5,"False","No","https://www.airbnb.com/rooms/9788564","https://a2.muscache.com/im/pictures/1047ec4d-81fa-4fdb-9154-f2b5dd6b9c9a.jpg",40.7217194792444,-73.9798112339725,31.4591756319941,5
"54",2119629,10808237,"Fantastic location, cozy apartment","Apartment","Entire home/apt",2013-12-25,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",139.81,5173,0.974,2,15,4.5,0,1,2,2016-04-26,100,29.27,"False","Flexible",NA,15,10,154,3892,834,NA,"12PM (noon)",3,37,1,328,10,"False","No","https://www.airbnb.com/rooms/2119629","https://a2.muscache.com/im/pictures/63340183/11fc4d62_original.jpg",40.7282379961011,-73.9846582289775,51.1207421586342,10
"68",579817,1115218,"Live With Art, and Nature!","Apartment","Entire home/apt",2012-07-06,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",150.64,14311,0.848,15,16,4.3,1,1,3,2016-10-15,100,16.16,"False","Strict",NA,40,NA,160,2500,950,NA,NA,3,95,18,253,31,"False","No","https://www.airbnb.com/rooms/579817","https://a2.muscache.com/im/pictures/886371ec-6ca5-42cb-8152-6abfc1b2eb66.jpg",40.7245089901795,-73.9802909726684,-55.2999767916306,15.5
"71",7160545,334348,"Sunny East Village Nest","Apartment","Entire home/apt",2015-07-03,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",180,360,1,1,8,5,1,1,2,2016-03-30,NA,NA,"False","Strict",200,75,NA,187,3136,784,"Anytime after 3PM","11AM",1,2,0,364,15,"False","No","https://www.airbnb.com/rooms/7160545","https://a2.muscache.com/im/pictures/90836900/7fff4502_original.jpg",40.7229859695135,-73.9775622974035,-0.0395691562782226,7.5
"90",191075,923915,"Sun-drenched East Village Penthouse","Apartment","Private room",2011-08-04,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",128.38,4365,0.654,5,44,4.8,1,1,2,2016-10-11,87,551.42,"False","Strict",500,100,25,220,3100,800,"Anytime after 3PM","12PM (noon)",3,34,94,238,15,"False","No","https://www.airbnb.com/rooms/191075","https://a1.muscache.com/im/pictures/1226718/a078a8b0_original.jpg",40.7256646623515,-73.977475198049,-51.6595691562854,7.5
"92",7629725,4536437,"Beautiful room in East Village","Apartment","Private room",2015-07-27,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",128.39,17589,0.815,27,21,4.5,1,1.5,2,2016-09-29,100,69.36,"False","Moderate",95,35,25,140,2350,700,NA,NA,1,137,49,180,5,"False","Yes","https://www.airbnb.com/rooms/7629725","https://a2.muscache.com/im/pictures/9b9762d2-8a76-47df-92bc-9adea1bc5c51.jpg",40.7277015611047,-73.9826278016623,-59.5714169728469,2
"94",13077455,72518845,"East Village Apt Style Living","Apartment","Entire home/apt",2016-05-18,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",164.78,3790,0.793,4,1,5,2,1,4,2016-07-01,NA,NA,"False","Flexible",NA,50,NA,200,4200,1050,NA,NA,1,23,27,103,9,"False","No","https://www.airbnb.com/rooms/13077455","https://a2.muscache.com/im/pictures/d8c81ea0-30c3-470e-ae02-708eb7b98bfe.jpg",40.7230461725709,-73.9788423545857,-57.3124624005702,3
"95",6292893,2563284,"Great East Village Studio","Apartment","Entire home/apt",2015-05-05,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",115,920,0.8,2,5,5,0,1,2,2016-10-25,NA,19.62,"False","Moderate",NA,NA,NA,120,3360,840,NA,NA,3,8,7,351,7,"False","Yes","https://www.airbnb.com/rooms/6292893","https://a1.muscache.com/im/pictures/78579882/ed05bc83_original.jpg",40.7223164636798,-73.9828946266412,23.1973866674052,7
"101",8551446,23296023,"The Ritz of NYC&#x27;s Pvt Room options!!!","Apartment","Private room",2015-09-23,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",134.88,25762,0.803,53,54,4.8,1,1,4,2016-10-27,100,15.63,"False","Strict",200,50,100,175,3000,900,NA,NA,1,191,47,128,37,"False","No","https://www.airbnb.com/rooms/8551446","https://a2.muscache.com/im/pictures/7c84d8ff-8ff8-42f2-971c-253d71fd4dda.jpg",40.7276404901774,-73.9851268975648,-80.7726296548057,18.5
"105",9627012,87470,"Huge Jr 1BR downtown, fun &amp; hip!","Apartment","Entire home/apt",2015-11-22,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",104.75,12360,0.915,13,4,4.8,1,1,2,2016-10-27,100,120.42,"False","Moderate",200,35,NA,140,2940,735,"Flexible","3PM",5,118,11,114,7,"False","No","https://www.airbnb.com/rooms/9627012","https://a2.muscache.com/im/pictures/fd45daed-8b8a-4d02-8127-1b6f3fd33949.jpg",40.7235519006194,-73.9827360695737,-54.5636033507657,3.5
"108",9998154,32993860,"Spacious Master Bedroom in EV","Apartment","Private room",2015-12-14,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",144,576,0.143,1,0,NA,1,1,2,2015-12-16,NA,NA,"False","Flexible",NA,20,NA,149,3612,900,NA,NA,1,4,24,277,8,"False","No","https://www.airbnb.com/rooms/9998154","https://a2.muscache.com/im/pictures/f776f34c-47a1-44d1-b355-937dc2abf2a6.jpg",40.726578313104,-73.9782735123494,-8.96269690514581,4
"110",15003139,94522062,"Sunny Loft w/ Private Rooftop in East Village/LES","Apartment","Private room",2016-09-13,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",107,107,0.067,1,4,4.8,1,1,2,2016-10-28,95,63.01,"False","Moderate",95,35,20,150,3220,805,"Flexible","2PM",2,1,14,15,7,"False","No","https://www.airbnb.com/rooms/15003139","https://a2.muscache.com/im/pictures/c3031bd0-fd6e-4986-9238-81fb273648c0.jpg",40.7226968682893,-73.9832976832974,-52.3136033507583,3.5
"114",12902467,1411232,"Cozy and relaxing East Village home","Bed &amp; Breakfast","Entire home/apt",2016-05-07,2016-10-30,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",150,300,0.25,1,3,3.6,1,1,2,2016-05-16,100,40.23,"False","Flexible",NA,NA,NA,150,4200,1050,NA,NA,1,2,6,145,10,"False","No","https://www.airbnb.com/rooms/12902467","https://a2.muscache.com/im/pictures/11eeacb1-4eac-414f-b08b-d5e9efa8b429.jpg",40.7265980819608,-73.9787202675149,-6.20024785958453,5
"117",9463726,7172407,"East Village Room in Fun Rooftop Terrace Apartment","Apartment","Private room",2015-11-13,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",127.46,3314,0.464,9,14,4.7,1,1,2,2016-10-19,100,283.72,"False","Flexible",NA,NA,NA,120,3360,840,NA,NA,1,26,191,57,10,"False","No","https://www.airbnb.com/rooms/9463726","https://a2.muscache.com/im/pictures/ed1dff9c-fbe6-4510-af49-9d723eaec8de.jpg",40.7217497975554,-73.9832326138872,-28.7402478592331,5
"120",1377134,7460434,"Room in lovely E.Village triplex","Apartment","Private room",2013-07-10,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",117.76,18960,0.709,29,59,4.8,1,1,2,2016-09-27,89,422.34,"False","Strict",300,NA,35,120,3000,840,NA,NA,3,161,97,108,19,"False","No","https://www.airbnb.com/rooms/1377134","https://a2.muscache.com/im/pictures/21376953/86096def_original.jpg",40.7238335792113,-73.9829014585566,-68.7546710651069,9.5
"130",4137306,8819541,"Superhost Queen Room in Best Neighborhood","Apartment","Private room",2014-09-09,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",131.05,16119,0.53,26,33,4.9,1,1,2,2016-10-28,100,7.72,"True","Strict",200,50,25,179,3612,903,NA,NA,2,123,177,66,15,"False","No","https://www.airbnb.com/rooms/4137306","https://a2.muscache.com/im/pictures/56320685/5627db32_original.jpg",40.7228639145146,-73.9828873472273,-48.9895691562807,7.5
"133",9978426,5904463,"Bright, spacious BR in East Village","Apartment","Private room",2015-12-13,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",132,660,0.192,2,1,5,1,1,2,2016-04-18,30,1440,"False","Moderate",NA,NA,NA,120,3360,840,NA,NA,1,5,33,267,14,"False","No","https://www.airbnb.com/rooms/9978426","https://a2.muscache.com/im/pictures/ba7e5845-d958-478f-8855-f27a11661100.jpg",40.7243137016005,-73.9831233628221,-38.6450316912019,7
"150",14438244,2024430,"Lovely, Comfortable 1 Bedroom in East Village","Apartment","Entire home/apt",2016-08-08,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",165,1650,1,3,1,5,1,1,2,2016-08-30,100,86.92,"False","Moderate",NA,50,NA,200,4200,1050,"Anytime after 12PM (noon)","12PM (noon)",2,10,0,51,12,"False","No","https://www.airbnb.com/rooms/14438244","https://a2.muscache.com/im/pictures/9a609235-b95a-4d64-9dcf-6d1ac6b82718.jpg",40.729194791605,-73.978935878214,-2.40748073666526,6
"151",268549,1378790,"Sunny Apartment in East Village","Apartment","Private room",2011-11-14,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",73.81,15870,0.604,39,79,4.9,1,1,1,2016-09-05,89,420.35,"False","Strict",250,25,NA,90,1820,455,"Anytime after 6PM",NA,2,215,141,10,31,"False","No","https://www.airbnb.com/rooms/268549","https://a1.muscache.com/im/pictures/65415424/667b064a_original.jpg",40.7275597045703,-73.9851884887934,-132.129976791617,15.5
"155",1423063,2283470,"Entire Studio in Alphabet City","Apartment","Entire home/apt",2013-07-21,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",136.71,1504,0.229,2,23,4.6,0,1,2,2016-10-27,100,381.73,"False","Strict",300,75,NA,200,2840,935,"3PM - 8PM","11AM",14,11,74,250,11,"False","No","https://www.airbnb.com/rooms/1423063","https://a0.muscache.com/im/pictures/21233204/93c01e66_original.jpg",40.7255459250687,-73.9774596637074,30.6565227707057,11
"161",13415104,2239264,"JULY DEAL: Sharp East Village Apt - Best of NYC!","Apartment","Private room",2016-06-07,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",131.5,1578,0.462,2,0,NA,1,1,2,2016-08-08,0,1440,"False","Moderate",300,75,NA,194,3332,833,NA,NA,5,12,14,96,9,"False","No","https://www.airbnb.com/rooms/13415104","https://a2.muscache.com/im/pictures/2927528e-d32d-44d4-aa48-5b217e073ad6.jpg",40.7257219842662,-73.986031825961,-31.0511543051803,4.5
"171",813469,4274768,"Amazing 1 bed apt in East Village","Apartment","Entire home/apt",2012-11-27,2016-10-29,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",203.64,2240,0.169,4,18,4.7,1,1,2,2016-10-16,89,1440,"False","Moderate",190,50,NA,240,5320,1330,NA,NA,1,11,303,52,12,"False","No","https://www.airbnb.com/rooms/813469","https://a1.muscache.com/im/pictures/12123453/733df77a_original.jpg",40.7229041438912,-73.9831441191463,36.2325192631799,6
"183",14518059,89693413,"Convenient Manhattan Apt.","Apartment","Private room",2016-08-13,2016-10-31,"United States","New York","New York",10009,"Stuyvesant Town","New York-Newark-Jersey City, NY-NJ-PA Metro Area",119.56,2750,0.767,3,3,5,1,1,2,2016-09-02,100,337.55,"False","Flexible",100,35,34,155,3360,840,"Flexible","11AM",1,23,38,0,5,"False","Yes","https://www.airbnb.com/rooms/14518059","https://a2.muscache.com/im/pictures/07782c8e-14aa-4f83-bbe4-affb2af66c5b.jpg",40.7307584851474,-73.9764428991967,-6.40006542804517,2.5
"186",15034878,79364407,"Apartment in Heart of East Village","Apartment","Private room",2016-09-13,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",189,189,0.071,1,2,5,1,1,4,2016-10-24,100,19.29,"False","Strict",300,40,20,190,4200,1050,"Flexible","12PM (noon)",2,1,13,16,10,"False","No","https://www.airbnb.com/rooms/15034878","https://a2.muscache.com/im/pictures/731b0cc4-faa2-48f8-b3d0-1ba090c6ef56.jpg",40.7271388344262,-73.9833728054452,17.0543082297204,5
"189",1446483,5283769,"Cozy 1BD in Vibrant East Village","Apartment","Entire home/apt",2013-07-26,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",122.6,26850,0.948,74,72,4.9,1,1,2,2016-10-25,100,111.14,"True","Strict",150,NA,25,125,3500,875,"Anytime after 5PM","3PM",2,219,12,135,4,"False","No","https://www.airbnb.com/rooms/1446483","https://a2.muscache.com/im/pictures/21500025/eb2afa48_original.jpg",40.7222965180361,-73.9821017357215,-39.6330389070364,2
"196",8211504,3521861,"East Village - Roommate needed","Apartment","Private room",2015-09-03,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",103.54,4763,0.63,9,11,4.5,1,1.5,2,2016-10-27,100,73.67,"False","Flexible",NA,50,NA,130,3640,910,NA,NA,15,46,84,236,19,"False","No","https://www.airbnb.com/rooms/8211504","https://a2.muscache.com/im/pictures/7a1ba2cf-4a2c-48d8-80bd-67e0fea0c430.jpg",40.7218853136891,-73.978818347647,-99.1145917302387,7.6
"200",1759292,4911769,"Beautiful Room in Alphabet City","Apartment","Private room",2013-10-05,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",131.16,13641,0.428,10,19,5,1,1,2,2016-06-15,100,317.83,"False","Moderate",NA,55,10,181,2400,882,"Anytime after 3PM","12PM (noon)",5,104,259,3,9,"False","No","https://www.airbnb.com/rooms/1759292","https://a2.muscache.com/im/pictures/56898378/7d6c2678_original.jpg",40.7270415488311,-73.9790143549784,-31.3911543051735,4.5
"206",4015907,20822324,"Trendy Neat Spacious 1/bd East Vill","Apartment","Entire home/apt",2014-09-01,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",188.77,2454,0.684,3,14,4.5,1,1,3,2016-09-30,100,21.68,"False","Moderate",150,29,NA,169,3920,980,NA,NA,1,13,34,319,24,"False","No","https://www.airbnb.com/rooms/4015907","https://a0.muscache.com/im/pictures/64238498/3a5e6963_original.jpg",40.7278755049461,-73.9791400691762,1.93721353656186,12
"236",13532789,77812281,"Large 1BR Wood Floors/Exposed Brick","Apartment","Entire home/apt",2016-06-15,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",175,1050,1,2,8,5,1,1,2,2016-10-12,100,176.62,"False","Moderate",NA,NA,NA,150,4200,1050,"Flexible","3PM",1,6,23,32,13,"False","No","https://www.airbnb.com/rooms/13532789","https://a2.muscache.com/im/pictures/f4587f13-2bc9-4353-a566-b2f2bc2ed7c6.jpg",40.7274627385288,-73.9761082688366,5.9737437859987,6.5
"237",11878779,34466439,"East Village Oasis w/ Outdoor Space","Apartment","Private room",2016-03-15,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",120,2160,0.857,1,2,4.5,1,1,2,2016-06-28,50,727.02,"False","Flexible",NA,NA,NA,120,3360,840,NA,"11AM",5,18,10,186,10,"False","No","https://www.airbnb.com/rooms/11878779","https://a2.muscache.com/im/pictures/2e4c0f9d-fc81-4dd0-ae48-d9247a664f40.jpg",40.7310603278736,-73.982460277363,-36.2002478595861,5
"253",74478,244444,"Beautiful Apartment in East Village","Apartment","Entire home/apt",2011-02-12,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",196.53,2948,0.441,4,15,4.8,0,1,2,2016-10-29,NA,359,"False","Strict",NA,75,NA,275,5600,1400,"Anytime after 3PM","12PM (noon)",1,15,27,324,11,"False","No","https://www.airbnb.com/rooms/74478","https://a0.muscache.com/im/pictures/5844904/3f4d5324_original.jpg",40.7250209986607,-73.9842129014364,90.4765227707016,11
"257",144855,701571,"Amazing Studio in East Village","Apartment","Entire home/apt",2011-06-14,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",150.89,28217,0.668,33,42,4.8,0,1,3,2016-10-13,92,238.27,"False","Strict",NA,50,NA,191,3948,987,"Anytime after 3PM","11AM",3,187,104,75,5,"False","No","https://www.airbnb.com/rooms/144855","https://a0.muscache.com/im/pictures/60776033/736b8dca_original.jpg",40.72151698199,-73.9824485273765,54.5491756339378,5
"260",5659417,29332408,"1 bedroom East Village private room","Apartment","Entire home/apt",2015-03-14,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",122.24,29338,0.656,41,23,4.2,1,1,4,2016-10-21,100,23.96,"False","Strict",200,125,100,270,4060,1015,NA,NA,5,240,126,0,3,"False","No","https://www.airbnb.com/rooms/5659417","https://a0.muscache.com/im/pictures/70434852/c19ab544_original.jpg",40.728662579849,-73.9806034157259,-38.3742634298092,1.5
"265",13596544,2638806,"Blues Musician Escape Lodge!","Apartment","Entire home/apt",2016-06-18,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",100,300,1,1,0,NA,1,1,3,2016-07-03,NA,NA,"False","Strict",300,NA,25,110,3080,770,NA,"11AM",2,3,0,119,2,"False","No","https://www.airbnb.com/rooms/13596544","https://a2.muscache.com/im/pictures/34e804f8-3d37-4d9b-bb34-6cea9f454105.jpg",40.722955350894,-73.977603396083,-58.9954879526031,1
"271",4564840,1019170,"Woodsy-chic Lofted 1BR, Office, AC","Apartment","Entire home/apt",2014-10-22,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",166.94,35390,0.648,36,41,4.5,1,1,2,2016-11-01,100,354.75,"False","Moderate",NA,60,NA,235,4900,1000,NA,NA,2,212,115,39,15,"False","No","https://www.airbnb.com/rooms/4564840","https://a1.muscache.com/im/pictures/57319927/f3ed8ac7_original.jpg",40.7231232445441,-73.9825451117717,-5.32380716841343,7.5
"274",14571451,32454701,"BUDGET Amazing Home in Manhattan - PRIME LOCATION","Apartment","Entire home/apt",2016-08-16,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",182.66,6393,0.673,8,14,4.8,0,1,4,2016-10-29,100,0.83,"False","Strict",NA,35,15,164,3612,903,"Anytime after 3PM","12PM (noon)",1,35,17,9,17,"True","Yes","https://www.airbnb.com/rooms/14571451","https://a2.muscache.com/im/pictures/3378a691-5b5a-42bf-9ace-2aa796d85b46.jpg",40.7282429703922,-73.9782447066827,57.7605704307682,17
"285",1839818,9615574,"1B in NYC - East Village, Manhattan","Apartment","Entire home/apt",2013-10-24,2016-10-31,"United States","New York","New York",10009,"Stuyvesant Town","New York-Newark-Jersey City, NY-NJ-PA Metro Area",154.71,16090,0.562,14,21,4.5,1,1,2,2016-10-30,100,234.2,"False","Strict",150,NA,NA,109,3052,2000,NA,NA,5,104,152,110,8,"False","No","https://www.airbnb.com/rooms/1839818","https://a2.muscache.com/im/pictures/25792397/8a8f1681_original.jpg",40.7319630542403,-73.9793195885089,8.14816422966272,4
"288",9988556,51320511,"Lovely Studio in East Village!","Apartment","Entire home/apt",2015-12-13,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",161.79,14400,0.736,20,10,4.2,0,1,2,2016-10-30,100,32.53,"False","Strict",200,80,NA,199,3332,833,"3PM - 10PM","11AM",2,89,53,163,11,"False","No","https://www.airbnb.com/rooms/9988556","https://a2.muscache.com/im/pictures/d00f7a06-8033-4b99-92b0-c241541ef442.jpg",40.726178989488,-73.9855885628959,55.7365227707016,11
"294",14367356,16419280,"Charming, fun private EV bedroom","Apartment","Private room",2016-08-04,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",112.2,4488,0.741,7,9,4.5,1,1,2,2016-10-23,100,11.95,"False","Strict",100,25,20,135,3080,770,"Anytime after 1PM","11AM",1,40,14,7,32,"False","No","https://www.airbnb.com/rooms/14367356","https://a2.muscache.com/im/pictures/6a67f506-465f-4e64-acec-9175857a0cc5.jpg",40.7231027196054,-73.9749134667116,-95.3587522687845,16
"299",6692573,35030648,"Sunny 1BR in hip East Village","Apartment","Private room",2015-06-03,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",94.89,1803,0.826,6,17,4.5,1,1,2,2016-08-11,100,246.67,"False","Moderate",NA,NA,NA,108,3024,756,"Anytime after 9AM","3PM",2,19,4,343,16,"False","No","https://www.airbnb.com/rooms/6692573","https://a2.muscache.com/im/pictures/86075464/ba52e01c_original.jpg",40.7235446783942,-73.9818995533262,-78.9925826456194,8
