"","Property ID","Host ID","Listing Title","Property Type","Listing Type","Created Date","Last Scraped Date","Country","State","City","Zipcode","Neighborhood","Metropolitan Statistical Area","Average Daily Rate","Annual Revenue LTM","Occupancy Rate LTM","Number of Bookings LTM","Number of Reviews","Overall Rating","Bedrooms","Bathrooms","Max Guests","Calendar Last Updated","Response Rate","Response Time (min)","Superhost","Cancellation Policy","Security Deposit","Cleaning Fee","Extra People Fee","Published Nightly Rate","Published Monthly Rate","Published Weekly Rate","Check-in Time","Checkout Time","Minimum Stay","Count Reservation Days LTM","Count Available Days LTM","Count Blocked Days LTM","Number of Photos","Business Ready","Instantbook Enabled","Listing URL","Listing Main Image URL","Latitude","Longitude","price_norm","photo_room_ratio"
"47676",2111614,10525934,"Private room in prime East Village!","Apartment","Private room",2013-12-23,2016-04-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",90,450,0.172,1,0,NA,1,1,2,2016-03-31,NA,NA,"False","Moderate",NA,75,NA,100,700,2800,NA,NA,1,5,24,154,11,"True","No","https://www.airbnb.com/rooms/2111614","https://a2.muscache.com/im/pictures/fe646e95-fdd3-43b4-ac12-e2696c733a99.jpg",40.7303051839669,-73.9825171215649,-84.9220047362863,5.5
"47677",12158649,36706894,"Saint Marks Apartment!","Apartment","Private room",2016-04-01,2016-04-04,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",70,2170,1,1,0,NA,1,1,1,2016-04-01,NA,NA,NA,"Strict",NA,NA,NA,70,490,1960,NA,NA,7,31,31,152,7,"True","No","https://www.airbnb.com/rooms/12158649","https://a2.muscache.com/im/pictures/bf942e1b-35d6-444a-8b49-00556a3234ac.jpg",40.7275488943736,-73.9846230176193,-106.22266481533,3.5
"47720",12152452,8595915,"Cozy 14th Street Crash Pad","Apartment","Entire home/apt",2016-03-30,2016-04-05,"United States","New York","New York",10009,"Stuyvesant Town","New York-Newark-Jersey City, NY-NJ-PA Metro Area",102.48,7686,0.412,14,0,NA,0,1,2,2016-04-02,NA,NA,"False","Flexible",NA,NA,NA,105,735,2940,NA,NA,3,75,138,1,1,"True","No","https://www.airbnb.com/rooms/12152452","https://a2.muscache.com/im/pictures/a0c59645-de91-4aa0-bf0d-36d64c200054.jpg",40.7299446704764,-73.9786656551839,41.3727270222326,1
"47769",11362029,32586105,"Pretty 2 br Fast WiFi E.Village NYC","Apartment","Entire home/apt",2016-02-17,2016-03-13,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",262.52,6563,0.373,8,1,5,2,1,8,2016-03-13,100,19.78,"False","Strict",NA,89,25,89,2492,623,"2:00 PM","12:00 PM (noon)",1,25,69,149,16,"True","Yes","https://www.airbnb.com/rooms/11362029","https://a2.muscache.com/im/pictures/8f66f8d7-4245-463b-81d1-06be57f1d757.jpg",40.7305146265026,-73.9818081034604,4.21736587165593,5.33333333333333
"47774",9925140,49499653,"Grand 2 Bedroom Apartment NYC","Apartment","Entire home/apt",2015-12-10,2016-03-13,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",190.06,9503,0.336,16,3,1.4,2,1,8,2016-03-13,50,1368.08,"False","Strict",250,89,25,109,3052,763,"2:00 PM","12:00 PM (noon)",1,50,130,125,18,"False","Yes","https://www.airbnb.com/rooms/9925140","https://a2.muscache.com/im/pictures/dfb9b56d-c66e-4588-bdd0-6b8e552087f2.jpg",40.7300277220519,-73.9820613184553,-62.3468856060591,6
"47800",10034435,6442716,"Summer stay! ❤️ of E. Village SPACE","Apartment","Entire home/apt",2015-12-16,2016-07-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",230.44,5300,0.189,4,3,3.6,2,1,4,2016-05-18,NA,NA,"False","Strict",NA,50,NA,238,6664,1666,NA,NA,1,23,238,44,25,"True","No","https://www.airbnb.com/rooms/10034435","https://a2.muscache.com/im/pictures/86f2353d-1c25-478a-a2fe-f179c84298a7.jpg",40.7258741518166,-73.9841788783649,-42.4316134231985,8.33333333333333
"47805",4065369,21084555,"Cute/Comfy/Cozy East Village Abode!","Apartment","Entire home/apt",2014-09-04,2015-11-09,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",233.33,2800,0.5,3,10,4.5,1,1,2,2015-11-03,100,0.03,"False","Moderate",NA,50,NA,300,8400,2100,NA,NA,1,12,194,7,13,"False","No","https://www.airbnb.com/rooms/4065369","https://a2.muscache.com/im/pictures/08bf96ec-9ab5-425f-aa3c-6494ee01f432.jpg",40.7260258622243,-73.9844327721746,64.3037437859988,6.5
"47833",11340374,56050,"Cozy, Handsome Room in the EV","Apartment","Private room",2016-02-16,2016-02-22,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",69.62,1810,0.419,3,0,NA,1,1,2,2016-02-22,100,496.54,"False","Flexible",NA,NA,NA,65,1820,455,NA,NA,1,26,217,0,6,"False","No","https://www.airbnb.com/rooms/11340374","https://a2.muscache.com/im/pictures/29cc8971-76c1-46e1-b080-1d2f33ab49af.jpg",40.7209707805335,-73.9775758746792,-80.1051459507617,3
"47834",11357735,48726779,"Comfortable, Cozy Studio in the EV","Apartment","Entire home/apt",2016-02-17,2016-04-05,"United States","New York","New York",10009,"Stuyvesant Town","New York-Newark-Jersey City, NY-NJ-PA Metro Area",172.08,18585,0.517,40,4,4.5,0,1,4,2016-04-04,100,21.17,NA,"Strict",99,75,NA,175,1225,4900,"3:00 PM","12:00 PM (noon)",1,108,131,4,24,"True","Yes","https://www.airbnb.com/rooms/11357735","https://a2.muscache.com/im/pictures/039ab64a-315f-4f02-9bbf-dc2b4720b2c8.jpg",40.7298329469288,-73.9778118310208,57.9954471358283,24
"47835",10028805,28702181,"Clean bright Bdrm walk to Union sq.","Apartment","Private room",2015-12-16,2015-12-19,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",75,825,0.183,2,0,NA,1,1,2,2015-12-16,NA,NA,"False","Flexible",NA,NA,NA,75,2100,525,NA,NA,1,11,170,2,8,"False","No","https://www.airbnb.com/rooms/10028805","https://a2.muscache.com/ac/pictures/42549c99-4ba4-4f8e-af8b-956c75a1dbb5.jpg",40.7286827383588,-73.9766848787777,-77.9626969051739,4
"47840",10042505,3642773,"Big room in wonderful location NYC","Apartment","Private room",2015-12-17,2016-02-29,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",102.29,1432,0.154,5,2,5,1,1,2,2016-01-20,94,435.5,"False","Flexible",NA,10,25,95,2660,720,NA,NA,1,14,291,0,3,"False","No","https://www.airbnb.com/rooms/10042505","https://a2.muscache.com/im/pictures/1962bcc6-e2c7-49aa-aba9-c4d4ad1c0fe5.jpg",40.7270621604454,-73.9784321086723,-42.5788195191437,1.5
"47841",10053330,8968228,"1BR Apartment in East Village","Apartment","Entire home/apt",2015-12-17,2016-04-05,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",95,4275,0.57,9,8,4.5,1,1,2,2016-01-14,NA,NA,NA,"Flexible",NA,NA,NA,95,665,2660,NA,NA,1,45,34,226,5,"True","Yes","https://www.airbnb.com/rooms/10053330","https://a2.muscache.com/im/pictures/3c7d6194-db43-4707-84b2-775281e9921d.jpg",40.7274691048671,-73.976460081365,-62.2396699502528,2.5
"47857",9014320,36228511,"Cute Doublebed in Lower East Side","Apartment","Private room",2015-10-19,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",301.79,4225,0.311,2,2,5,1,1,2,2016-08-16,100,4.34,"False","Moderate",200,50,20,150,2800,700,NA,NA,3,14,56,265,4,"False","Yes","https://www.airbnb.com/rooms/9014320","https://a2.muscache.com/im/pictures/ade7b556-47a1-4010-ac0a-c61c81709cb0.jpg",40.7224674691576,-73.9843512310728,147.332723080853,2
